Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
BDS022,KCSINDANGLAYACIMENYANTBG,Februari,TP Postpaid,10600,1496,353,34,12440,2291636,0,5
CRB529,PABUARANKIDUL,Februari,TP Postpaid,10600,1866,742,74,29538,2910898,0,6
CJR546,KOTABUNGAPCK,Februari,TP Postpaid,7700,1432,264,26,15734,2275755,0,9
BDS876,MARGAMULYAPASIRJAMBUECO,Februari,TP Postpaid,10600,1882,474,49,28069,2881250,0,3
BDS871,SUDIIBUNTBG,Februari,TP Postpaid,10600,1315,409,34,8362,2013324,0,5
SUB410,SNGAIKTOKDMT,Februari,TP Postpaid,10600,1721,301,56,11180,2610130,308,6
BDS552,CIJERUKBDG,Februari,TP Postpaid,10600,2275,534,77,29065,3483895,573,10
BDS254,TRSNCIKEURUH,Februari,TP Postpaid,10600,1476,239,17,12724,2259616,0,6
TSK613,PASIRANGINTSK,Februari,TP Postpaid,10600,2346,501,60,27766,3729337,226,10
KNG099,KERAMATMULYA,Februari,TP Postpaid,6600,1475,250,22,10225,2345122,0,9
GRT319,CIBUNAR,Februari,TP Postpaid,10600,2097,392,39,22525,3241016,0,7
TSK809,KPCIKATUNCARDMT,Februari,TP Postpaid,10600,1953,868,94,37942,3103395,0,10
CJR514,PAMOYANAN,Februari,TP Postpaid,10600,1746,110,11,6203,2774675,71,6
BDK539,MANGLAYANG,Februari,TP Postpaid,10600,2137,552,43,29535,3272625,0,9
CJR730,GUNUNGGEULISKARYABAKTITBG,Februari,TP Postpaid,10600,1744,221,34,10949,2771306,0,7
CMS266,CIMAPAG,Februari,TP Postpaid,10600,2413,648,87,29008,3834667,0,7
BDG558,CIPARAYBDG,Februari,TP Postpaid,10600,2969,1093,87,42457,4546183,45,9
MJL219,WANGKELANG,Februari,TP Postpaid,10600,2233,460,40,17685,3547917,0,7
BDG778,Ciapus,Februari,TP Postpaid,10600,2374,464,49,22314,3636312,0,7
BDG788,WANGNJAYABDG,Februari,TP Postpaid,10600,1669,251,32,11060,2578659,0,6
BDS582,KPTARAJU,Februari,TP Postpaid,10600,2126,509,43,26998,3254830,94,10
CJR438,KPLEMAHDUHUR,Februari,TP Postpaid,10600,1913,223,21,10543,3039034,0,11
BJR011,SUKARAMEBJR,Februari,TP Postpaid,10600,25180,595,34,27489,3969747,0,9
BDG453,CIPANASBDG,Februari,TP Postpaid,10600,1917,241,23,13870,2962427,50,6
CRB982,KARANGANYARCIKEUSALTBG,Februari,TP Postpaid,10600,1959,374,31,19253,3056830,0,6
BDG848,BUNIJAYA,Februari,TP Postpaid,6600,1934,162,23,8178,2989696,969,8
CMI123,PUSDIKPOM,Februari,TP Postpaid,10600,2097,520,50,27442,4149360,0,7
BDG492,CIKUNDUL,Februari,TP Postpaid,10600,2324,421,36,19411,3559269,0,8
CMI118,PERUMKOTAMAS,Februari,TP Postpaid,10600,1991,439,33,24443,3163735,0,9
BDS392,JALAKHARUPAT,Februari,TP Postpaid,10600,2371,1490,180,24076,3631167,0,8
BDB068,KPNEGLASARI,Februari,TP Postpaid,10600,1568,184,16,11296,2425189,139,6
CMI167,UBUGCIMAHI,Februari,TP Postpaid,10600,2376,885,61,32813,4961004,61,9
BDS329,KOPOPERMAI,Februari,TP Postpaid,7700,2507,379,23,14746,1543633,0,6
BDG496,SALUYUSLTN,Februari,TP Postpaid,10600,1904,412,33,21155,2915752,139,7
CMI126,CITOPENG,Februari,TP Postpaid,10600,2455,689,67,36719,3901651,0,9
SUB048,RELOCKPGCIINTANGTBG,Februari,TP Postpaid,10600,424,375,33,18617,673808,0,6
CMI153,MELONGINDAH,Februari,TP Postpaid,10600,2380,544,48,29223,4617667,0,9
SUB493,CIPUNAGARA,Februari,TP Postpaid,10600,1670,368,27,19286,2652992,0,9
SUB679,BOCAPOLAGATBG,Februari,TP Postpaid,6600,4718,386,38,19451,7506941,171,7
SUB387,ANGKOLO,Februari,TP Postpaid,10600,1903,192,24,15128,3024461,0,6
SUB663,SERANGPANJANGTBG,Februari,TP Postpaid,10600,2309,827,70,42536,3668297,171,8
SUB707,KPTANJUNGJAYAGANDASARITBG,Februari,TP Postpaid,10600,1911,364,31,18559,5577037,0,7
SUB705,E_SUB705_DSNTURITANJUNGSARITIMUR-DMT,Februari,TP Postpaid,10600,2583,444,58,17062,4104412,0,7
SUB686,KPCIKUPACIRANGKONGTBG,Februari,TP Postpaid,10600,2130,580,56,28882,3386236,480,7
SUB690,KPPANYINGKIRANTBG,Februari,TP Postpaid,10600,2344,569,49,30604,3725539,0,7
SUB688,KPCIHUNIJAMBELAERTBG,Februari,TP Postpaid,10600,28807,341,52,26826,3851513,0,7
BDG863,SUKABIRUS,Februari,TP Postpaid,10600,1877,563,50,24196,2874404,0,9
SUB699,PONGGANGSERANGPANJANGSTP,Februari,TP Postpaid,10600,2011,171,24,10207,3196520,171,7
SUB702,KPSLAWICIPANCAR-TBG,Februari,TP Postpaid,10600,2054,337,36,21358,3263091,171,6
SUB381,BANGGALA,Februari,TP Postpaid,10600,1557,141,16,8788,2473431,486,6
BDS602,KPCIGEMBAR,Februari,TP Postpaid,10600,2242,873,78,38302,3433833,581,8
BDS469,TRSNKOPO,Februari,TP Postpaid,10600,2189,634,48,26314,3352686,0,9
BDS352,KPCIBEDUGGIRANG,Februari,TP Postpaid,10600,2104,686,53,29284,3222028,0,7
CMI175,KPANGGARAJA,Februari,TP Postpaid,10600,70129,773,74,36579,1457603,0,10
BDS580,KPBBKNCEMPAKA,Februari,TP Postpaid,10600,2180,578,51,34622,3339714,0,10
BDG223,BANJARAN,Februari,TP Postpaid,10600,1562,933,89,29497,2392096,0,9
BDS354,JLSUKAPURABDG,Februari,TP Postpaid,10600,2881,616,54,17304,4412172,0,12
BDS494,KPCINAGREG,Februari,TP Postpaid,7700,1620,464,47,16319,2481711,28,9
BDG841,KPGUNUNGAN,Februari,TP Postpaid,6600,1998,250,34,12296,3089092,0,6
CMI157,CIDAMAR,Februari,TP Postpaid,13200,2248,677,50,23559,3572169,0,9
BDB027,KPKIARATENGAH,Februari,TP Postpaid,10600,1413,313,37,12054,2185292,0,5
BDB032,CADASRONGGA,Februari,TP Postpaid,10600,2184,280,37,14873,3375859,969,9
BDG806,KPCIPAYUNG,Februari,TP Postpaid,10600,1366,120,14,5981,2111278,0,5
SUB489,KALIJATIBARAT,Februari,TP Postpaid,10600,2356,903,102,46948,3744816,0,9
BDB025,KPCIBONTENG,Februari,TP Postpaid,10600,2024,572,68,18156,3128943,0,7
BDS584,KOMPMEKARSARIENDAH,Februari,TP Postpaid,10600,2168,765,93,31260,3320159,0,9
BDS586,RANCACATANG,Februari,TP Postpaid,7700,2202,645,64,15621,3371934,0,10
BDS589,CISANGKUYDYHKOLOT,Februari,TP Postpaid,7700,1474,608,45,24916,2257426,236,9
BDB002,DSTAMANJAYA,Februari,TP Postpaid,10600,1503,154,16,7350,2323984,0,6
BDS044,BBKNTAMAN,Februari,TP Postpaid,7700,1471,383,29,15985,2252663,0,8
CMI145,BUKITINDAH,Februari,TP Postpaid,10600,2011,836,65,31354,3194804,0,10
BDS067,BLOKCIAMPEL,Februari,TP Postpaid,10600,2501,714,60,39645,3865191,0,7
BDG996,KRTAMUKTICPT,Februari,TP Postpaid,10600,2867,686,111,30700,4431830,385,9
BDB071,JLCICAPAR,Februari,TP Postpaid,10600,1968,301,27,18263,3042269,0,6
BDB081,CIKUDACAMPAKA,Februari,TP Postpaid,10600,2384,374,29,23183,3686415,0,7
BDB087,KARANGMULYACTTH,Februari,TP Postpaid,10600,2281,432,33,23468,3525047,0,6
BDG179,RENGASCONDONG,Februari,TP Postpaid,10600,1937,762,64,33372,2965981,0,9
CMI168,CIPAGERANASRI,Februari,TP Postpaid,10600,69667,299,28,16635,2960800,0,5
BDG830,BABAKANASRI,Februari,TP Postpaid,10600,1636,303,19,16987,2505111,63,6
CMI144,JLKERKOF,Februari,TP Postpaid,10600,2665,884,85,40460,4235583,0,12
CMI130,PERMANACITEUREUP,Februari,TP Postpaid,10600,2171,631,64,30419,3450454,0,10
BDS386,BBKNSUKAMULYA,Februari,TP Postpaid,10600,2023,614,46,20536,3214701,305,9
CMI131,KOMPPONDOKMAS,Februari,TP Postpaid,10600,1651,435,26,25272,3440988,0,5
BDS340,PERMATAKOPO,Februari,TP Postpaid,10600,1766,661,76,23112,2704420,0,6
CMI229,JLPESANTREN188KINMW,Februari,TP Postpaid,10600,2394,995,71,42467,3805156,0,11
BDS499,JLKOPOSAYATI347,Februari,TP Postpaid,10600,2205,583,70,20521,3377202,0,9
BDS009,DSBOJONGSARIBDG,Februari,TP Postpaid,10600,2527,648,61,19468,3870308,0,9
CMI192,JLSANGKURIANG,Februari,TP Postpaid,10600,1984,747,65,32914,3152802,0,7
BDS692,GANSOLICIKAMBUYTBG,Februari,TP Postpaid,10600,2371,722,57,32054,3629482,0,7
CMI173,JLCITEUREUP,Februari,TP Postpaid,10600,2697,748,119,35722,4285992,0,11
BDB036,KOMPSANGKURIANG,Februari,TP Postpaid,7700,1550,456,41,23728,2463214,0,5
BDS041,KPSEKEANDUR,Februari,TP Postpaid,10600,1766,457,31,18219,2754121,0,6
BDB084,CIHAMPELASCILILIN,Februari,TP Postpaid,10600,2449,719,83,35295,3787018,0,9
BDS671,SINDANGMEKARDMT,Februari,TP Postpaid,10600,2303,606,45,31375,3527692,0,12
BDS674,KPMANGGAHANG,Februari,TP Postpaid,10600,2640,755,63,40149,4042726,0,8
BDS447,CIGONDEWAHHILIR,Februari,TP Postpaid,6600,1837,357,31,23494,3681245,0,9
BDS350,CITAMIANGKIDUL,Februari,TP Postpaid,7700,2093,1094,111,42505,3265658,139,9
BDS676,KPLEUWIKURAY,Februari,TP Postpaid,10600,1898,477,41,26147,2906517,0,10
BDG741,KPCILOKOTOT,Februari,TP Postpaid,10600,2030,419,39,21282,3167766,0,9
BDK564,TOLPADALEUNYIKM138,Februari,TP Postpaid,10600,2000,312,34,14624,3062764,0,7
BDS413,ADIPATIAGUNGDLM,Februari,TP Postpaid,10600,1871,1017,109,25423,2865323,172,10
BDG747,MALAKASARI,Februari,TP Postpaid,10600,2679,930,90,45089,4101546,0,9
BDS313,KPGANDASOLI,Februari,TP Postpaid,10600,2581,793,97,39463,3952436,0,9
BDG734,CANGKUANGKLN,Februari,TP Postpaid,10600,265279,1142,108,38589,5897444,0,6
BDG713,SAGULING,Februari,TP Postpaid,10600,2537,405,50,18851,3920980,0,7
BDS114,DSCIWARUGA,Februari,TP Postpaid,10600,1524,331,22,15177,2356709,0,6
BDG696,TEGALKAWUNG,Februari,TP Postpaid,10600,1873,487,42,23373,2975721,0,9
BDS113,KPCISARANTA,Februari,TP Postpaid,10600,2271,393,29,16852,3478718,0,6
BDG689,KPRONGGA,Februari,TP Postpaid,10600,2569,445,58,25640,3970385,0,6
BDG701,NEGLASARIBDG,Februari,TP Postpaid,10600,2482,286,45,18326,3837505,133,8
BDB146,LAKSANAMEKAR,Februari,TP Postpaid,10600,2386,448,38,26468,3688101,0,6
BDG792,CIBURUY,Februari,TP Postpaid,10600,7268,263,36,15699,2557420,0,9
BDB135,JLMAROKO,Februari,TP Postpaid,10600,2594,260,39,20433,4009958,0,7
BDB137,KPCIBENDA,Februari,TP Postpaid,10600,1567,188,18,10015,2423365,133,6
BDB141,KPCIHURANG,Februari,TP Postpaid,10600,1981,292,24,19165,3060896,0,6
CMI039,UTAMACIMAHI,Februari,TP Postpaid,10600,2185,773,66,24800,3472432,0,7
BDB147,KPTEGALEGA,Februari,TP Postpaid,10600,1848,211,22,13100,2855796,0,6
BDB148,PASIRPANJANG,Februari,TP Postpaid,10600,1662,237,26,15168,2569755,139,5
CMI107,BMCITEUREUP,Februari,TP Postpaid,23000,2084,820,77,41851,3313086,0,11
BDB144,PASIRTEUREUP,Februari,TP Postpaid,10600,2108,277,34,17771,3259458,165,6
BDG509,GAMBUNG,Februari,TP Postpaid,10600,2149,502,48,21409,4155237,0,7
BDG601,DSCELAK,Februari,TP Postpaid,10600,1668,241,24,14419,2577468,0,6
BDB237,CIPADANGMANAHDMT,Februari,TP Postpaid,10600,118013,660,64,34158,3044495,0,10
BDS428,BUMIASRI,Februari,TP Postpaid,10600,1658,401,36,20977,2539032,0,9
BDG576,DSCITALEM,Februari,TP Postpaid,10600,2153,320,33,17075,3328556,133,6
CMI041,KLMASTURICMH,Februari,TP Postpaid,10600,1815,631,63,27782,2884375,0,10
CMI040,MINTAREJA,Februari,TP Postpaid,10600,2068,483,35,24652,3287294,0,9
SUB597,DSCIKUJANGDMT,Februari,TP Postpaid,10600,1729,421,47,23854,2747913,171,10
SUB602,KPSUKAHURIPDMT,Februari,TP Postpaid,10600,2579,584,83,33829,4099041,0,10
SUB603,DSTANJUNGRASATBG,Februari,TP Postpaid,10600,2335,676,58,29736,3711633,0,7
SUB616,KPSABONGDMT,Februari,TP Postpaid,10600,98029,472,37,21630,3131651,0,11
SUB618,DSTANJUNGWANGITBG,Februari,TP Postpaid,10600,1570,528,48,26726,2495759,0,10
SUB619,KPPANARUBANKIN,Februari,TP Postpaid,10600,1943,497,36,24186,3087821,171,10
SUB604,KPHAMERANGCMI,Februari,TP Postpaid,10600,2362,630,59,33937,3752921,0,7
BDB092,MANDALABUKIT,Februari,TP Postpaid,10600,2240,580,48,26410,3461451,0,7
BDB139,CILAMEINDAH,Februari,TP Postpaid,10600,1607,313,30,18149,2483776,0,5
BDB134,KPBBKNCIMAREME,Februari,TP Postpaid,10600,2433,717,49,24934,3759704,0,5
SUB592,DSNRAWAMENENGDMT,Februari,TP Postpaid,10600,2145,575,48,30594,3408944,308,10
