Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total RRU
BDS022,KCSINDANGLAYACIMENYANTBG,Januari,TP Postpaid,10600,1505,279,27,11190,2303596,5
CRB529,PABUARANKIDUL,Januari,TP Postpaid,10600,1908,516,44,29995,2976726,6
CJR546,KOTABUNGAPCK,Januari,TP Postpaid,7700,1812,240,25,11675,2774864,9
BDS876,MARGAMULYAPASIRJAMBUECO,Januari,TP Postpaid,10600,1550,652,63,27459,2374454,3
BDS871,SUDIIBUNTBG,Januari,TP Postpaid,10600,1321,222,14,7032,2022695,5
SUB410,SNGAIKTOKDMT,Januari,TP Postpaid,10600,1770,365,56,12998,2685491,6
BDS552,CIJERUKBDG,Januari,TP Postpaid,10600,2422,670,81,31587,3709007,10
BDS254,TRSNCIKEURUH,Januari,TP Postpaid,10600,1511,276,24,12556,2314608,6
TSK613,PASIRANGINTSK,Januari,TP Postpaid,10600,2360,474,59,28719,3749313,10
KNG099,KERAMATMULYA,Januari,TP Postpaid,6600,1495,301,16,10770,2310767,9
GRT319,CIBUNAR,Januari,TP Postpaid,10600,2251,374,33,22431,3481177,7
TSK809,KPCIKATUNCARDMT,Januari,TP Postpaid,10600,1976,883,72,39986,3140470,10
CJR514,PAMOYANAN,Januari,TP Postpaid,10600,1741,109,12,6112,2666672,6
BDK533,KEBONTERONG,Januari,TP Postpaid,7700,2014,661,39,25577,2348324,11
BDK539,MANGLAYANG,Januari,TP Postpaid,10600,2180,529,43,30877,3338014,9
CJR730,GUNUNGGEULISKARYABAKTITBG,Januari,TP Postpaid,10600,1758,216,30,12454,2692966,7
CMS266,CIMAPAG,Januari,TP Postpaid,10600,2537,702,105,29045,4031724,7
BDG558,CIPARAYBDG,Januari,TP Postpaid,10600,3053,1141,92,45585,4674834,9
MJL219,WANGKELANG,Januari,TP Postpaid,10600,2247,583,80,20478,3570849,7
BDG778,Ciapus,Januari,TP Postpaid,10600,2398,480,53,23512,3672637,7
BDG788,WANGNJAYABDG,Januari,TP Postpaid,10600,1695,198,26,10786,2621123,6
BDS582,KPTARAJU,Januari,TP Postpaid,10600,4075,500,47,27728,4601389,10
CJR438,KPLEMAHDUHUR,Januari,TP Postpaid,10600,1985,220,19,11267,3040345,11
CJR475,KPSITUHAPA,Januari,TP Postpaid,10600,1991,149,13,9171,3048660,7
BJR011,SUKARAMEBJR,Januari,TP Postpaid,10600,2690,579,38,30674,4119418,9
BDG453,CIPANASBDG,Januari,TP Postpaid,10600,1981,235,18,14340,3062148,6
CRB982,KARANGANYARCIKEUSALTBG,Januari,TP Postpaid,10600,1995,374,40,19589,3113078,6
BDG848,BUNIJAYA,Januari,TP Postpaid,6600,1935,165,23,7787,2991039,8
CMI123,PUSDIKPOM,Januari,TP Postpaid,10600,2127,608,70,31626,4041566,7
BDG492,CIKUNDUL,Januari,TP Postpaid,10600,2429,383,29,20693,3718441,8
CMI118,PERUMKOTAMAS,Januari,TP Postpaid,10600,2002,454,35,26103,3036571,9
BDS392,JALAKHARUPAT,Januari,TP Postpaid,10600,2397,772,72,24471,3669911,8
BDB068,KPNEGLASARI,Januari,TP Postpaid,10600,1562,193,15,11627,2413627,6
CMI167,UBUGCIMAHI,Januari,TP Postpaid,10600,2371,988,65,36333,4781789,9
BDS329,KOPOPERMAI,Januari,TP Postpaid,7700,308,327,22,15983,471666,6
BDG496,SALUYUSLTN,Januari,TP Postpaid,10600,1447,445,38,25957,2215910,7
CMI126,CITOPENG,Januari,TP Postpaid,10600,2451,685,67,38594,3717735,9
SUB048,RELOCKPGCIINTANGTBG,Januari,TP Postpaid,10600,424,332,38,19672,673808,6
CMI153,MELONGINDAH,Januari,TP Postpaid,10600,2394,525,48,30189,4570254,9
SUB493,CIPUNAGARA,Januari,TP Postpaid,10600,1672,348,24,19761,4619734,9
SUB679,BOCAPOLAGATBG,Januari,TP Postpaid,6600,2697,397,42,19233,4286754,7
SUB387,ANGKOLO,Januari,TP Postpaid,10600,1967,185,22,16248,3125389,6
SUB663,SERANGPANJANGTBG,Januari,TP Postpaid,10600,2452,857,74,42321,3898202,8
SUB707,KPTANJUNGJAYAGANDASARITBG,Januari,TP Postpaid,10600,1972,404,42,19113,5673166,7
SUB705,E_SUB705_DSNTURITANJUNGSARITIMUR-DMT,Januari,TP Postpaid,10600,2622,411,57,17512,4167217,7
SUB686,KPCIKUPACIRANGKONGTBG,Januari,TP Postpaid,10600,2670,557,59,32373,4243195,7
SUB690,KPPANYINGKIRANTBG,Januari,TP Postpaid,10600,2409,575,46,32090,3827166,7
SUB688,KPCIHUNIJAMBELAERTBG,Januari,TP Postpaid,10600,2374,378,62,28138,3773738,7
BDG863,SUKABIRUS,Januari,TP Postpaid,10600,2029,567,52,26231,3107174,9
SUB699,PONGGANGSERANGPANJANGSTP,Januari,TP Postpaid,10600,2134,189,27,11495,3392100,7
SUB702,KPSLAWICIPANCAR-TBG,Januari,TP Postpaid,10600,56897,449,64,22716,1208962,6
SUB381,BANGGALA,Januari,TP Postpaid,10600,1348,177,16,9351,2143139,6
BDS602,KPCIGEMBAR,Januari,TP Postpaid,10600,10967,1009,80,40732,4196492,8
BDS469,TRSNKOPO,Januari,TP Postpaid,10600,78418,654,51,27753,3591764,9
BDS352,KPCIBEDUGGIRANG,Januari,TP Postpaid,10600,2153,594,51,31165,3297065,7
CMI175,KPANGGARAJA,Januari,TP Postpaid,10600,705,749,68,39543,1069440,10
BDS580,KPBBKNCEMPAKA,Januari,TP Postpaid,10600,2187,620,62,37064,3348995,10
BDG223,BANJARAN,Januari,TP Postpaid,10600,1667,623,53,181,2552308,9
BDS354,JLSUKAPURABDG,Januari,TP Postpaid,10600,182900,447,28,15890,4607928,12
BDS494,KPCINAGREG,Januari,TP Postpaid,7700,25456,452,53,17471,2831050,9
BDG841,KPGUNUNGAN,Januari,TP Postpaid,6600,2038,278,34,13338,3149163,6
CMI157,CIDAMAR,Januari,TP Postpaid,13200,271425,634,52,23562,6257679,9
BDB027,KPKIARATENGAH,Januari,TP Postpaid,10600,1467,248,14,11789,2267499,5
BDB032,CADASRONGGA,Januari,TP Postpaid,10600,2146,269,38,14942,3316143,9
BDG806,KPCIPAYUNG,Januari,TP Postpaid,10600,1376,114,15,6114,2127138,5
SUB489,KALIJATIBARAT,Januari,TP Postpaid,10600,2355,935,104,45787,3741987,9
BDB025,KPCIBONTENG,Januari,TP Postpaid,10600,2061,574,62,16807,3186077,7
BDS584,KOMPMEKARSARIENDAH,Januari,TP Postpaid,10600,2156,663,48,33453,3302793,9
BDS586,RANCACATANG,Januari,TP Postpaid,7700,95549,568,45,15791,3545440,10
BDS589,CISANGKUYDYHKOLOT,Januari,TP Postpaid,7700,33628,389,32,24141,2507714,9
BDB002,DSTAMANJAYA,Januari,TP Postpaid,10600,1487,146,13,7505,2298910,6
BDS044,BBKNTAMAN,Januari,TP Postpaid,7700,98393,406,32,17400,2460931,8
CMI145,BUKITINDAH,Januari,TP Postpaid,10600,2049,584,54,31944,3109019,10
BDS067,BLOKCIAMPEL,Januari,TP Postpaid,10600,2508,702,56,42677,3876784,7
