Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
BDS022,KCSINDANGLAYACIMENYANTBG,Maret,TP Postpaid,10600,1502,356,37,17375,2300075,0,5
CRB529,PABUARANKIDUL,Maret,TP Postpaid,10600,1862,484,40,31596,2906077,18,6
CJR546,KOTABUNGAPCK,Maret,TP Postpaid,7700,1716,332,47,13928,2728176,0,9
BDS876,MARGAMULYAPASIRJAMBUECO,Maret,TP Postpaid,10600,1691,499,53,33558,2589965,200,3
BDS871,SUDIIBUNTBG,Maret,TP Postpaid,10600,1315,394,33,12101,2014242,0,5
SUB410,SNGAIKTOKDMT,Maret,TP Postpaid,10600,1597,385,61,12171,2422409,481,6
BDS552,CIJERUKBDG,Maret,TP Postpaid,10600,2278,554,73,32431,3488489,423,10
BDS254,TRSNCIKEURUH,Maret,TP Postpaid,10600,1431,245,19,15087,2192418,0,6
TSK613,PASIRANGINTSK,Maret,TP Postpaid,10600,2317,541,62,30934,3682297,0,10
KNG099,KERAMATMULYA,Maret,TP Postpaid,6600,1390,204,14,10380,2209169,0,9
GRT319,CIBUNAR,Maret,TP Postpaid,10600,2007,443,37,24667,3102386,249,7
TSK809,KPCIKATUNCARDMT,Maret,TP Postpaid,10600,1941,848,91,43674,3084786,0,10
CJR514,PAMOYANAN,Maret,TP Postpaid,10600,1648,123,12,6952,2618157,5080,6
BDK533,KEBONTERONG,Maret,TP Postpaid,7700,1708,904,67,35146,1991528,0,11
BDK539,MANGLAYANG,Maret,TP Postpaid,10600,2022,535,42,33153,3097603,0,9
CJR730,GUNUNGGEULISKARYABAKTITBG,Maret,TP Postpaid,10600,1610,248,41,11731,2559200,5854,7
CMS266,CIMAPAG,Maret,TP Postpaid,10600,2577,627,82,32154,4096753,150,7
BDG558,CIPARAYBDG,Maret,TP Postpaid,10600,2742,1049,83,46027,4200075,0,9
MJL219,WANGKELANG,Maret,TP Postpaid,10600,2049,397,31,19209,3256432,29,7
BDG778,Ciapus,Maret,TP Postpaid,10600,2221,451,47,25333,3400725,0,7
BDG788,WANGNJAYABDG,Maret,TP Postpaid,10600,1603,220,32,14385,2479046,0,6
BDS582,KPTARAJU,Maret,TP Postpaid,10600,2003,512,44,29971,3067757,74,10
CJR438,KPLEMAHDUHUR,Maret,TP Postpaid,10600,1802,173,18,10767,2864145,93,11
CJR475,KPSITUHAPA,Maret,TP Postpaid,10600,1306,140,11,7849,2074423,0,7
BJR011,SUKARAMEBJR,Maret,TP Postpaid,10600,2766,593,40,31331,4395978,0,9
BDG453,CIPANASBDG,Maret,TP Postpaid,10600,1804,247,19,17061,2789541,61,6
CRB982,KARANGANYARCIKEUSALTBG,Maret,TP Postpaid,10600,1866,340,31,21630,2911850,0,6
BDG848,BUNIJAYA,Maret,TP Postpaid,6600,1837,156,17,8992,2839642,773,8
CMI123,PUSDIKPOM,Maret,TP Postpaid,10600,1866,665,69,31392,3779893,0,7
BDG492,CIKUNDUL,Maret,TP Postpaid,10600,2180,412,30,24229,3339393,0,8
CMI118,PERUMKOTAMAS,Maret,TP Postpaid,10600,1885,437,30,27682,2996698,105,9
BDS392,JALAKHARUPAT,Maret,TP Postpaid,10600,2235,1163,132,26506,3423635,0,8
BDB068,KPNEGLASARI,Maret,TP Postpaid,10600,1469,185,16,13006,2270143,78,6
CMI167,UBUGCIMAHI,Maret,TP Postpaid,10600,2070,866,63,36281,4474718,0,9
BDS329,KOPOPERMAI,Maret,TP Postpaid,7700,1320,360,28,15697,2021424,265,6
BDG496,SALUYUSLTN,Maret,TP Postpaid,10600,936,634,39,25510,1433373,70,7
CMI126,CITOPENG,Maret,TP Postpaid,10600,2326,707,66,43274,3697092,0,9
SUB048,RELOCKPGCIINTANGTBG,Maret,TP Postpaid,10600,26121,337,27,20531,2778521,0,6
CMI153,MELONGINDAH,Maret,TP Postpaid,10600,2322,527,49,32060,4527389,0,9
SUB493,CIPUNAGARA,Maret,TP Postpaid,10600,1581,366,28,20086,2512319,110,9
SUB679,BOCAPOLAGATBG,Maret,TP Postpaid,6600,1927,383,42,21896,3062331,74,7
SUB387,ANGKOLO,Maret,TP Postpaid,10600,1819,205,23,16708,2890796,0,6
SUB663,SERANGPANJANGTBG,Maret,TP Postpaid,10600,39244,762,71,49257,3647383,0,8
SUB707,KPTANJUNGJAYAGANDASARITBG,Maret,TP Postpaid,10600,1813,519,58,22080,5421713,0,7
SUB705,E_SUB705_DSNTURITANJUNGSARITIMUR-DMT,Maret,TP Postpaid,10600,2437,375,48,17030,3872585,0,7
SUB686,KPCIKUPACIRANGKONGTBG,Maret,TP Postpaid,10600,1910,540,51,32984,3035410,973,7
SUB690,KPPANYINGKIRANTBG,Maret,TP Postpaid,10600,2212,539,42,33364,3515164,0,7
SUB688,KPCIHUNIJAMBELAERTBG,Maret,TP Postpaid,10600,2130,342,57,31130,3385075,0,7
BDG863,SUKABIRUS,Maret,TP Postpaid,10600,1915,638,68,35982,2932597,0,9
SUB699,PONGGANGSERANGPANJANGSTP,Maret,TP Postpaid,10600,1873,176,28,12584,2975181,0,7
