Site ID,Site Name,Area,Regional,Emin40 (kWh),Emax (kWh),Kota / Kabupaten
CJR060,PT TELKOMSEL,Area 2,R04_Jawa Barat,920.0,16560.0,SOREANG
BDS003,KCMEKARMANIKCIMENYANPTL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS022,KCSINDANGLAYACIMENYANTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDK145,JLRANDUSARI,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG TIMUR
CRB529,PABUARANKIDUL,Area 2,R04_Jawa Barat,528.0,9504.0,CIREBON
CJR432,TEXASPACET,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR419,KPPASEKON,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR546,KOTABUNGAPCK,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
CJR657,KPLEMBURKEBONDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR523,KOMSELINDO,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDS876,MARGAMULYAPASIRJAMBUECO,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS871,SUDIIBUNTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
EPI010,EMGRANDSHARONDMT,Area 2,R04_Jawa Barat,88.0,1584.0,BANDUNG
EPI020,EMKAWAHPUTIH,Area 2,R04_Jawa Barat,88.0,1584.0,SOREANG
SUB410,SNGAIKTOKDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS552,CIJERUKBDG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS254,TRSNCIKEURUH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
TSK613,PASIRANGINTSK,Area 2,R04_Jawa Barat,424.0,7632.0,TASIKMALAYA
TSK439,PDPESALHUSNA,Area 2,R04_Jawa Barat,424.0,7632.0,TASIKMALAYA
KNG099,KERAMATMULYA,Area 2,R04_Jawa Barat,264.0,4752.0,KUNINGAN
GRT319,CIBUNAR,Area 2,R04_Jawa Barat,424.0,7632.0,GARUT
CJR470,KPPASIRKALAPA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR633,BOCIBADAKCIBEBERTBG,Area 2,R04_Jawa Barat,220.0,3960.0,SOREANG
TSK809,KPCIKATUNCARDMT,Area 2,R04_Jawa Barat,424.0,7632.0,TASIKMALAYA
CJR514,PAMOYANAN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDK533,KEBONTERONG,Area 2,R04_Jawa Barat,176.0,3168.0,BANDUNG TIMUR
BDK539,MANGLAYANG,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG TIMUR
CJR730,GUNUNGGEULISKARYABAKTITBG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMS266,CIMAPAG,Area 2,R04_Jawa Barat,528.0,9504.0,CIAMIS
GRT308,KPKONDANGREGE,Area 2,R04_Jawa Barat,424.0,7632.0,GARUT
BDG558,CIPARAYBDG,Area 2,R04_Jawa Barat,528.0,9504.0,SUMEDANG
MJL219,WANGKELANG,Area 2,R04_Jawa Barat,424.0,7632.0,KUNINGAN
BDG778,Ciapus,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG788,WANGNJAYABDG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS104,BOJONGMALAKA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS572,KPSESAKDUA,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS582,KPTARAJU,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS680,KPWARGILUYUDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUMEDANG
CJR438,KPLEMAHDUHUR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CJR475,KPSITUHAPA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
TSK813,KELSUKAMANAHDMT,Area 2,R04_Jawa Barat,308.0,5544.0,TASIKMALAYA
BDS038,DSTANGSIMEKAR,Area 2,R04_Jawa Barat,424.0,7632.0,SUMEDANG
BDS121,KPCIWANGI,Area 2,R04_Jawa Barat,424.0,7632.0,SUMEDANG
BJR011,SUKARAMEBJR,Area 2,R04_Jawa Barat,528.0,9504.0,CIAMIS
BDG453,CIPANASBDG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
CRB982,KARANGANYARCIKEUSALTBG,Area 2,R04_Jawa Barat,424.0,7632.0,CIREBON
BDG848,BUNIJAYA,Area 2,R04_Jawa Barat,264.0,4752.0,SOREANG
CMI123,PUSDIKPOM,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS433,PTMITRARAJAWALI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDG492,CIKUNDUL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI118,PERUMKOTAMAS,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS392,JALAKHARUPAT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI114,JLCONTONG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI112,JLCIBOGO,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB068,KPNEGLASARI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI167,UBUGCIMAHI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS329,KOPOPERMAI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDG496,SALUYUSLTN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI165,PILARMAS,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB034,PANEMBAKANUTR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI126,CITOPENG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB048,RELOCKPGCIINTANGTBG,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG
CMI153,MELONGINDAH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB491,PASANGGRAHANSBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB389,SUKAMANDISBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB493,CIPUNAGARA,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB721,SUKAGENAHPINANGSARICIASEMTBG,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG
SUB679,BOCAPOLAGATBG,Area 2,R04_Jawa Barat,264.0,4752.0,SUBANG
SUB390,CIPEUNDEYSBG,Area 2,R04_Jawa Barat,528.0,9504.0,SUBANG
SUB387,ANGKOLO,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB663,SERANGPANJANGTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB707,KPTANJUNGJAYAGANDASARITBG,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG
SUB705,E_SUB705_DSNTURITANJUNGSARITIMUR-DMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB686,KPCIKUPACIRANGKONGTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB690,KPPANYINGKIRANTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB688,KPCIHUNIJAMBELAERTBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDG863,SUKABIRUS,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB699,PONGGANGSERANGPANJANGSTP,Area 2,R04_Jawa Barat,424.0,7632.0,BANDUNG
SUB702,KPSLAWICIPANCAR-TBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS627,SADANGSARI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
SUB381,BANGGALA,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDS577,CIKAMBUYTENGAH,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS470,MUARACIWIDEY,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS601,BOJONGMANGGU,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS602,KPCIGEMBAR,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS469,TRSNKOPO,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS352,KPCIBEDUGGIRANG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
CMI175,KPANGGARAJA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS580,KPBBKNCEMPAKA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG223,BANJARAN,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG223,BANJARAN,Area 2,R04_Jawa Barat,,,SOREANG
BDS354,JLSUKAPURABDG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS494,KPCINAGREG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDG841,KPGUNUNGAN,Area 2,R04_Jawa Barat,264.0,4752.0,SOREANG
CMI157,CIDAMAR,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDG465,GAJAHMEKAR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB023,KPKUTALKSANA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB027,KPKIARATENGAH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB032,CADASRONGGA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG806,KPCIPAYUNG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB489,KALIJATIBARAT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB708,KPGANDARIAMARENGMANGDMTMT1,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
BDB025,KPCIBONTENG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS597,JLRAYANANJUNG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS584,KOMPMEKARSARIENDAH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS586,RANCACATANG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS589,CISANGKUYDYHKOLOT,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB002,DSTAMANJAYA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS044,BBKNTAMAN,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
CMI145,BUKITINDAH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI150,BBKNPESANTREN,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS544,PPTKGAMBUNG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS560,BOJONGBUAH,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS067,BLOKCIAMPEL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG996,KRTAMUKTICPT,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDB071,JLCICAPAR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS461,KPCIPICUNG,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS609,KPKULALET,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB081,CIKUDACAMPAKA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS391,SIPATAHUNAN,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDB087,KARANGMULYACTTH,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB040,JLRYBATUJAJAR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
